date,atm_id,location_type,cash_withdrawn
2023-01-01,ATM_001,Urban,11225.379540090908
2023-01-01,ATM_002,Rural,6223.958662642572
2023-01-01,ATM_003,Suburban,6558.237968294806
2023-01-01,ATM_004,Suburban,9383.242946234404
2023-01-01,ATM_005,Rural,5938.097157992339
2023-01-01,ATM_006,Urban,12917.261365616978
2023-01-01,ATM_007,Urban,9403.519230451193
2023-01-01,ATM_008,Rural,6361.257418606627
2023-01-01,ATM_009,Rural,5780.501329884652
2023-01-01,ATM_010,Suburban,6875.28534248105
2023-01-01,ATM_011,Rural,8483.665005084411
2023-01-01,ATM_012,Urban,9041.724908062184
2023-01-01,ATM_013,Rural,7102.235781179889
2023-01-01,ATM_014,Suburban,6920.573284873078
2023-01-01,ATM_015,Suburban,10647.842405368629
2023-01-01,ATM_016,Rural,4587.1165885092505
2023-01-01,ATM_017,Suburban,8251.966013416755
2023-01-01,ATM_018,Urban,7071.007856792919
2023-01-01,ATM_019,Urban,7595.366728007239
2023-01-01,ATM_020,Rural,7213.4130246247705
2023-01-02,ATM_001,Urban,9279.908012743645
2023-01-02,ATM_002,Rural,3403.3500646452526
2023-01-02,ATM_003,Suburban,7194.001538681336
2023-01-02,ATM_004,Suburban,5075.779682529734
2023-01-02,ATM_005,Rural,4017.4286742375434
2023-01-02,ATM_006,Urban,7402.488125723268
2023-01-02,ATM_007,Urban,7222.673601545003
2023-01-02,ATM_008,Rural,6220.4470038616055
2023-01-02,ATM_009,Rural,6934.181063123777
2023-01-02,ATM_010,Suburban,8040.762415307687
2023-01-02,ATM_011,Rural,7294.91808716208
2023-01-02,ATM_012,Urban,8932.812051648905
2023-01-02,ATM_013,Rural,4225.943969956286
2023-01-02,ATM_014,Suburban,9481.086982286906
2023-01-02,ATM_015,Suburban,11090.536146544597
2023-01-02,ATM_016,Rural,6285.092020825844
2023-01-02,ATM_017,Suburban,5306.136339601486
2023-01-02,ATM_018,Urban,7964.720926757956
2023-01-02,ATM_019,Urban,10674.360639942646
2023-01-02,ATM_020,Rural,3982.698979134517
2023-01-03,ATM_001,Urban,9998.170425484723
2023-01-03,ATM_002,Rural,6055.008033833729
2023-01-03,ATM_003,Suburban,7936.8905523562125
2023-01-03,ATM_004,Suburban,8970.790138755214
2023-01-03,ATM_005,Rural,4917.422127389185
2023-01-03,ATM_006,Urban,10584.970871976038
2023-01-03,ATM_007,Urban,10659.878584926231
2023-01-03,ATM_008,Rural,7519.928094655872
2023-01-03,ATM_009,Rural,6806.019659438605
2023-01-03,ATM_010,Suburban,6083.207608965364
2023-01-03,ATM_011,Rural,6868.941625122597
2023-01-03,ATM_012,Urban,7801.903979921538
2023-01-03,ATM_013,Rural,7640.6093487912785
2023-01-03,ATM_014,Suburban,7937.577932434135
2023-01-03,ATM_015,Suburban,5748.831660721948
2023-01-03,ATM_016,Rural,4393.374208434743
2023-01-03,ATM_017,Suburban,7596.339959829406
2023-01-03,ATM_018,Urban,10779.265664800232
2023-01-03,ATM_019,Urban,8838.98783718835
2023-01-03,ATM_020,Rural,3043.050859737678
2023-01-04,ATM_001,Urban,10096.109748071556
2023-01-04,ATM_002,Rural,6189.552504298964
2023-01-04,ATM_003,Suburban,9025.808369192728
2023-01-04,ATM_004,Suburban,7415.920996408932
2023-01-04,ATM_005,Rural,7465.014994242834
2023-01-04,ATM_006,Urban,11427.48927082785
2023-01-04,ATM_007,Urban,10325.365747758406
2023-01-04,ATM_008,Rural,4687.144526764793
2023-01-04,ATM_009,Rural,5805.060079038454
2023-01-04,ATM_010,Suburban,8582.765412934767
2023-01-04,ATM_011,Rural,4780.927556883397
2023-01-04,ATM_012,Urban,7290.2170347897645
2023-01-04,ATM_013,Rural,7053.745316360383
2023-01-04,ATM_014,Suburban,10428.762492049469
2023-01-04,ATM_015,Suburban,6692.848610177217
2023-01-04,ATM_016,Rural,6985.889814202216
2023-01-04,ATM_017,Suburban,7486.448606742577
2023-01-04,ATM_018,Urban,6600.576599074872
2023-01-04,ATM_019,Urban,7822.711385086005
2023-01-04,ATM_020,Rural,4112.500307361328
2023-01-05,ATM_001,Urban,11131.421946325418
2023-01-05,ATM_002,Rural,6883.051857845311
2023-01-05,ATM_003,Suburban,7364.606022727131
2023-01-05,ATM_004,Suburban,8062.441914257497
2023-01-05,ATM_005,Rural,5659.199611391036
2023-01-05,ATM_006,Urban,6090.3662597633
2023-01-05,ATM_007,Urban,11388.114387553118
2023-01-05,ATM_008,Rural,4822.865960779216
2023-01-05,ATM_009,Rural,2191.91429455235
2023-01-05,ATM_010,Suburban,7735.854454083011
2023-01-05,ATM_011,Rural,7354.514025535366
2023-01-05,ATM_012,Urban,7078.333756775501
2023-01-05,ATM_013,Rural,2411.7040349509452
2023-01-05,ATM_014,Suburban,7229.775794296462
2023-01-05,ATM_015,Suburban,10262.143756404712
2023-01-05,ATM_016,Rural,4764.939588329238
2023-01-05,ATM_017,Suburban,6003.888209269189
2023-01-05,ATM_018,Urban,10738.888399750615
2023-01-05,ATM_019,Urban,5503.882228651397
2023-01-05,ATM_020,Rural,5308.7524794089695
2023-01-06,ATM_001,Urban,8298.724381221427
